date,series_id,value,unit,frequency,release_version
2009-01-01,obm_issuance_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-02,obm_issuance_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-03,obm_issuance_btc_daily,50.00000000,BTC,daily,OBM v0.1.0
2009-01-04,obm_issuance_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-05,obm_issuance_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-06,obm_issuance_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-07,obm_issuance_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-08,obm_issuance_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-09,obm_issuance_btc_daily,700.00000000,BTC,daily,OBM v0.1.0
2009-01-10,obm_issuance_btc_daily,3050.00000000,BTC,daily,OBM v0.1.0
2009-01-11,obm_issuance_btc_daily,4650.00000000,BTC,daily,OBM v0.1.0
2009-01-12,obm_issuance_btc_daily,4700.00000000,BTC,daily,OBM v0.1.0
2009-01-13,obm_issuance_btc_daily,6150.00000000,BTC,daily,OBM v0.1.0
2009-01-14,obm_issuance_btc_daily,6450.00000000,BTC,daily,OBM v0.1.0
2009-01-15,obm_issuance_btc_daily,6300.00000000,BTC,daily,OBM v0.1.0
2009-01-16,obm_issuance_btc_daily,5400.00000000,BTC,daily,OBM v0.1.0
2009-01-17,obm_issuance_btc_daily,5450.00000000,BTC,daily,OBM v0.1.0
2009-01-18,obm_issuance_btc_daily,5350.00000000,BTC,daily,OBM v0.1.0
2009-01-19,obm_issuance_btc_daily,5750.00000000,BTC,daily,OBM v0.1.0
2009-01-20,obm_issuance_btc_daily,5700.00000000,BTC,daily,OBM v0.1.0
2009-01-21,obm_issuance_btc_daily,5100.00000000,BTC,daily,OBM v0.1.0
2009-01-22,obm_issuance_btc_daily,4550.00000000,BTC,daily,OBM v0.1.0
2009-01-23,obm_issuance_btc_daily,4200.00000000,BTC,daily,OBM v0.1.0
2009-01-24,obm_issuance_btc_daily,10050.00000000,BTC,daily,OBM v0.1.0
2009-01-25,obm_issuance_btc_daily,9550.00000000,BTC,daily,OBM v0.1.0
2009-01-26,obm_issuance_btc_daily,4800.00000000,BTC,daily,OBM v0.1.0
2009-01-27,obm_issuance_btc_daily,4850.00000000,BTC,daily,OBM v0.1.0
2009-01-28,obm_issuance_btc_daily,5600.00000000,BTC,daily,OBM v0.1.0
2009-01-29,obm_issuance_btc_daily,6050.00000000,BTC,daily,OBM v0.1.0
2009-01-30,obm_issuance_btc_daily,5850.00000000,BTC,daily,OBM v0.1.0
2009-01-31,obm_issuance_btc_daily,6900.00000000,BTC,daily,OBM v0.1.0
2009-02-01,obm_issuance_btc_daily,5650.00000000,BTC,daily,OBM v0.1.0
