date,series_id,value,unit,frequency,release_version
2009-01-01,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-01-02,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-01-03,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-01-04,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-01-05,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-01-06,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-01-07,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-01-08,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-01-09,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-01-10,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-01-11,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-01-12,obm_spent_value_lt155d_btc_daily,179,BTC,daily,OBM v0.1.0
2009-01-13,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-01-14,obm_spent_value_lt155d_btc_daily,61,BTC,daily,OBM v0.1.0
2009-01-15,obm_spent_value_lt155d_btc_daily,500,BTC,daily,OBM v0.1.0
2009-01-16,obm_spent_value_lt155d_btc_daily,200,BTC,daily,OBM v0.1.0
2009-01-17,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-01-18,obm_spent_value_lt155d_btc_daily,150,BTC,daily,OBM v0.1.0
2009-01-19,obm_spent_value_lt155d_btc_daily,775,BTC,daily,OBM v0.1.0
2009-01-20,obm_spent_value_lt155d_btc_daily,400,BTC,daily,OBM v0.1.0
2009-01-21,obm_spent_value_lt155d_btc_daily,100,BTC,daily,OBM v0.1.0
2009-01-22,obm_spent_value_lt155d_btc_daily,500,BTC,daily,OBM v0.1.0
2009-01-23,obm_spent_value_lt155d_btc_daily,450,BTC,daily,OBM v0.1.0
2009-01-24,obm_spent_value_lt155d_btc_daily,500,BTC,daily,OBM v0.1.0
2009-01-25,obm_spent_value_lt155d_btc_daily,50,BTC,daily,OBM v0.1.0
2009-01-26,obm_spent_value_lt155d_btc_daily,1000,BTC,daily,OBM v0.1.0
2009-01-27,obm_spent_value_lt155d_btc_daily,150,BTC,daily,OBM v0.1.0
2009-01-28,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-01-29,obm_spent_value_lt155d_btc_daily,600,BTC,daily,OBM v0.1.0
2009-01-30,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-01-31,obm_spent_value_lt155d_btc_daily,1000,BTC,daily,OBM v0.1.0
2009-02-01,obm_spent_value_lt155d_btc_daily,100,BTC,daily,OBM v0.1.0
2009-02-02,obm_spent_value_lt155d_btc_daily,50,BTC,daily,OBM v0.1.0
2009-02-03,obm_spent_value_lt155d_btc_daily,736.52,BTC,daily,OBM v0.1.0
2009-02-04,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-02-05,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-02-06,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-02-07,obm_spent_value_lt155d_btc_daily,1198,BTC,daily,OBM v0.1.0
2009-02-08,obm_spent_value_lt155d_btc_daily,1000,BTC,daily,OBM v0.1.0
2009-02-09,obm_spent_value_lt155d_btc_daily,2200,BTC,daily,OBM v0.1.0
2009-02-10,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-02-11,obm_spent_value_lt155d_btc_daily,550.04,BTC,daily,OBM v0.1.0
2009-02-12,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-02-13,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-02-14,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-02-15,obm_spent_value_lt155d_btc_daily,900,BTC,daily,OBM v0.1.0
2009-02-16,obm_spent_value_lt155d_btc_daily,1500,BTC,daily,OBM v0.1.0
2009-02-17,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-02-18,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-02-19,obm_spent_value_lt155d_btc_daily,800,BTC,daily,OBM v0.1.0
2009-02-20,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-02-21,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-02-22,obm_spent_value_lt155d_btc_daily,1050,BTC,daily,OBM v0.1.0
2009-02-23,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-02-24,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-02-25,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-02-26,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-02-27,obm_spent_value_lt155d_btc_daily,1800,BTC,daily,OBM v0.1.0
2009-02-28,obm_spent_value_lt155d_btc_daily,350,BTC,daily,OBM v0.1.0
2009-03-01,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-03-02,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-03-03,obm_spent_value_lt155d_btc_daily,400,BTC,daily,OBM v0.1.0
2009-03-04,obm_spent_value_lt155d_btc_daily,1250,BTC,daily,OBM v0.1.0
2009-03-05,obm_spent_value_lt155d_btc_daily,400,BTC,daily,OBM v0.1.0
2009-03-06,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
2009-03-07,obm_spent_value_lt155d_btc_daily,0,BTC,daily,OBM v0.1.0
